A	A 1177
_ _ _ Country	Month in the Country 14
_ _ _ Gard	La Fille Mal Gard 18
_ _ _ Gard _	La Fille Mal Gard eacute 18
_ _ _ Gard eacute	La Fille Mal Gard eacute 18
_ _ _ Goldberg	he wrote and Goldberg 15	wrote Harsnet and Goldberg 11
_ _ _ Harsnet	he typed as Harsnet 12
_ _ _ Harsnet _	he typed as Harsnet had 12
_ _ _ Harsnet had	he typed as Harsnet had 12
_ _ _ _	the end of the 86	at the end of 71	at the same time 53	the rest of the 37	is one of the 36	will be able to 33	may be able to 30	the back of the 27	to be able to 27	At the same time 26	one of the most 26	the beginning of the 25	a great deal of 24	in front of the 24	should be able to 24	the side of the 24	I would like to 23	I do want to 22	can be found in 22	for the first time 22	was one of the 22	as a result of 21	it is possible to 21	I was going to 20	It is important to 20	from time to time 20	in the middle of 20	the middle of the 20	Goldberg in the margin 19	as well as the 19	in the case of 19	is likely to be 19	Fille Mal Gard eacute 18	La Fille Mal Gard 18	On the other hand 18	at the beginning of 18	the start of the 18	At the end of 17	Mal Gard eacute e 17	as soon as possible 17	not be able to 17	the edge of the 17	a wide range of 16	on the basis of 16	that there is no 16	he wrote and Goldberg 15	it is important to 15	the top of the 15	A Month in the 14	Month in the Country 14	a work of art 14	be able to get 14	it is necessary to 14	per cent of the 14	that there is a 14	you will need to 14	at the back of 13	the bottom of the 13	the way in which 13	to be found in 13	to get rid of 13	you are going to 13	East Coast main line 12	If you want to 12	What do you mean 12	as Harsnet had written 12	at the expense of 12	be found in the 12	he typed as Harsnet 12	in the course of 12	in the same way 12	is going to be 12	know what to say 12	that it is not 12	the direction of the 12	the glass he wrote 12	the power of the 12	the same time as 12	the same way as 12	the use of the 12	typed as Harsnet had 12	I do know what 11	If you would like 11	a member of the 11	are you going to 11	as we shall see 11	at the start of 11	in the face of 11	it is best to 11	it is difficult to 11	it is essential to 11	local Age Concern group 11	men women and children 11	nothing to do with 11	the end of a 11	the nature of the 11	to go to the 11	with a reverse punch 11	wrote Harsnet and Goldberg 11	your centre of gravity 11
_ _ _ _ Country	A Month in the Country 14
_ _ _ _ _	at the end of the 33	La Fille Mal Gard eacute 18	Fille Mal Gard eacute e 17	A Month in the Country 14	in the middle of the 13	at the beginning of the 12	he typed as Harsnet had 12	typed as Harsnet had written 12	At the end of the 11	at the same time as 11
_ _ _ _ as	at the same time as 11
_ _ _ _ e	Fille Mal Gard eacute e 17
_ _ _ _ eacute	La Fille Mal Gard eacute 18
_ _ _ _ had	he typed as Harsnet had 12
_ _ _ _ the	at the end of the 33	in the middle of the 13	at the beginning of the 12	At the end of the 11
_ _ _ _ written	typed as Harsnet had written 12
_ _ _ a	that there is a 14	the end of a 11
_ _ _ art	a work of art 14
_ _ _ as	the same time as 12	the same way as 12
_ _ _ be	is likely to be 19	is going to be 12
_ _ _ children	men women and children 11
_ _ _ e	Mal Gard eacute e 17
_ _ _ eacute	Fille Mal Gard eacute 18
_ _ _ eacute _	Fille Mal Gard eacute e 17
_ _ _ eacute e	Fille Mal Gard eacute e 17
_ _ _ get	be able to get 14
_ _ _ gravity	your centre of gravity 11
_ _ _ group	local Age Concern group 11
_ _ _ had	typed as Harsnet had 12
_ _ _ had _	typed as Harsnet had written 12
_ _ _ had written	typed as Harsnet had written 12
_ _ _ hand	On the other hand 18
_ _ _ in	can be found in 22	to be found in 13
_ _ _ like	If you would like 11
_ _ _ line	East Coast main line 12
_ _ _ margin	Goldberg in the margin 19
_ _ _ mean	What do you mean 12
_ _ _ most	one of the most 26
_ _ _ no	that there is no 16
_ _ _ not	that it is not 12
_ _ _ of	at the end of 71	a great deal of 24	as a result of 21	in the middle of 20	in the case of 19	at the beginning of 18	At the end of 17	a wide range of 16	on the basis of 16	at the back of 13	to get rid of 13	at the expense of 12	in the course of 12	at the start of 11	in the face of 11
_ _ _ of _	at the end of the 33	in the middle of the 13	at the beginning of the 12	At the end of the 11
_ _ _ of the	at the end of the 33	in the middle of the 13	at the beginning of the 12	At the end of the 11
_ _ _ possible	as soon as possible 17
_ _ _ punch	with a reverse punch 11
_ _ _ say	know what to say 12
_ _ _ see	as we shall see 11
_ _ _ the	the end of the 86	the rest of the 37	is one of the 36	the back of the 27	the beginning of the 25	in front of the 24	the side of the 24	was one of the 22	the middle of the 20	as well as the 19	the start of the 18	the edge of the 17	the top of the 15	A Month in the 14	per cent of the 14	the bottom of the 13	be found in the 12	the direction of the 12	the power of the 12	the use of the 12	a member of the 11	the nature of the 11	to go to the 11
_ _ _ the Country	A Month in the Country 14
_ _ _ the _	A Month in the Country 14
_ _ _ time	at the same time 53	At the same time 26	for the first time 22	from time to time 20
_ _ _ time _	at the same time as 11
_ _ _ time as	at the same time as 11
_ _ _ to	will be able to 33	may be able to 30	to be able to 27	should be able to 24	I would like to 23	I do want to 22	it is possible to 21	I was going to 20	It is important to 20	not be able to 17	it is important to 15	it is necessary to 14	you will need to 14	you are going to 13	If you want to 12	are you going to 11	it is best to 11	it is difficult to 11	it is essential to 11
_ _ _ way	in the same way 12
_ _ _ what	I do know what 11
_ _ _ which	the way in which 13
_ _ _ with	nothing to do with 11
_ _ _ written	as Harsnet had written 12
_ _ _ wrote	the glass he wrote 12
_ _ a	to be a 96	there is a 93	to have a 69	It is a 66	to make a 63	This is a 62	it is a 62	There is a 61	It was a 56	there was a 53	is not a 46	more than a 44	There was a 43	this is a 36	you have a 34	is also a 32	part of a 31	it was a 26	will be a 26	to create a 23	and in a 22	can be a 22	to take a 22	have been a 21	he was a 21	to provide a 21	I have a 20	and with a 20	and as a 19	to get a 19	I had a 18	has been a 17	in such a 17	to give a 17	to use a 17	I was a 16	and for a 15	out of a 15	to find a 15	would be a 15	give you a 14	result in a 14	something of a 14	such as a 14	Here is a 13	it as a 13	rather than a 13	up in a 13	was in a 13	He was a 12	I got a 12	and have a 12	at least a 12	end of a 12	is in a 12	out in a 12	to do a 12	There are a 11	may be a 11	seen as a 11	should be a 11	that of a 11	to form a 11	to see a 11	up to a 11	was not a 11	was only a 11	will have a 11
_ _ able	will be able 33	may be able 30	to be able 27	should be able 25	not be able 17
_ _ able _	will be able to 33	may be able to 30	to be able to 27	should be able to 24	not be able to 17
_ _ able to	will be able to 33	may be able to 30	to be able to 27	should be able to 24	not be able to 17
_ _ about	to think about 18	to talk about 16	tell you about 13
_ _ air	in the air 24
_ _ all	It was all 11
_ _ also	It is also 29	There is also 17
_ _ always	I have always 11
_ _ am	that I am 15	and I am 14
_ _ an	to be an 26	there is an 18	to have an 15	This is an 13	to make an 13	it is an 12	It is an 11
_ _ and	he wrote and 44	of the and 30	to try and 24	in the and 20	to the and 18	the world and 16	the ground and 13	got up and 12	he said and 12	men women and 12	the kitchen and 12	the time and 12	at home and 11	each other and 11	moods emotions and 11	of life and 11	the door and 11	wrote Harsnet and 11
_ _ and Goldberg	he wrote and Goldberg 15	wrote Harsnet and Goldberg 11
_ _ and _	he wrote and Goldberg 15	men women and children 11	wrote Harsnet and Goldberg 11
_ _ and children	men women and children 11
_ _ are	if you are 74	If you are 65	if they are 48	that you are 37	that they are 35	because they are 29	when you are 24	that there are 21	and they are 19	and there are 16	people who are 15	when they are 15	as they are 14	those who are 13	what they are 12	but there are 11	of them are 11	of which are 11	the arms are 11
_ _ area	in your area 18	in the area 14
_ _ art	work of art 22
_ _ as	as well as 136	as soon as 60	as long as 31	as much as 26	as far as 18	As well as 17	the same as 17	As soon as 12	be seen as 12	he typed as 12	is known as 12	same time as 12	same way as 12	so long as 12
_ _ as Harsnet	he typed as Harsnet 12
_ _ as Harsnet _	he typed as Harsnet had 12
_ _ as Harsnet had	he typed as Harsnet had 12
_ _ as _	as well as the 19	as soon as possible 17	he typed as Harsnet 12
_ _ as _ _	he typed as Harsnet had 12
_ _ as _ had	he typed as Harsnet had 12
_ _ as possible	as soon as possible 17
_ _ as the	as well as the 19
_ _ at	to look at 28	and looked at 17	a look at 14	She looked at 13
_ _ available	will be available 12
_ _ back	at the back 24	to go back 20
_ _ back _	at the back of 13
_ _ back of	at the back of 13
_ _ bar	to the bar 13
_ _ basis	on the basis 16
_ _ basis _	on the basis of 16
_ _ basis of	on the basis of 16
_ _ be	can not be 66	have to be 65	has to be 60	going to be 58	it would be 53	which can be 51	is to be 46	need to be 45	had to be 42	likely to be 39	may not be 37	it will be 32	it can be 31	it may be 30	will not be 30	you will be 30	and can be 29	are to be 29	needs to be 29	can also be 28	seems to be 28	want to be 28	was to be 27	not to be 26	seem to be 25	they can be 25	used to be 24	would not be 24	It would be 23	should not be 22	said to be 21	seemed to be 21	will also be 21	it must be 20	there will be 20	could not be 19	It may be 18	It must be 18	you may be 18	It can be 17	There may be 17	can only be 17	which will be 17	I would be 16	it to be 16	you must be 16	It will be 15	This can be 15	and to be 15	appears to be 15	it could be 15	may well be 15	that can be 15	this can be 15	It should be 14	there can be 14	There will be 13	and will be 13	appear to be 13	it should be 13	should always be 13	there must be 13	you should be 13	There can be 12	out to be 12	seen to be 12	them to be 12	there may be 12	there would be 12	were to be 12	supposed to be 11	there should be 11	they may be 11	they should be 11	we will be 11
_ _ because	This is because 11
_ _ been	to have been 43	would have been 40	I have been 31	I had been 22	had not been 22	must have been 22	could have been 21	which has been 21	there has been 19	It has been 18	might have been 18	she had been 18	it has been 17	may have been 17	who had been 17	he had been 16	should have been 16	there have been 16	has not been 14	has always been 13	not have been 13	which have been 13	you have been 13	had never been 12	it had been 12	has also been 11	he has been 11
_ _ beginning	at the beginning 23
_ _ beginning _	at the beginning of 18
_ _ beginning _ _	at the beginning of the 12
_ _ beginning _ the	at the beginning of the 12
_ _ beginning of	at the beginning of 18
_ _ beginning of _	at the beginning of the 12
_ _ beginning of the	at the beginning of the 12
_ _ best	of the best 18	is the best 12	it is best 11
_ _ best _	it is best to 11
_ _ best to	it is best to 11
_ _ better	it is better 11
_ _ between	the difference between 12	the relationship between 12
_ _ body	of the body 22
_ _ book	of the book 15
_ _ bottom	at the bottom 13
_ _ brain	of the brain 11
_ _ bras	ports de bras 27
_ _ but	he wrote but 31	of course but 12
_ _ called	can be called 15
_ _ can	that you can 23	that they can 18	if you can 16	that we can 13	and you can 11
_ _ case	in the case 20	in this case 17	In this case 13	In any case 11
_ _ case _	in the case of 19
_ _ case of	in the case of 19
_ _ cases	in some cases 13	In some cases 11
_ _ catholic	the Roman catholic 20
_ _ century	the nineteenth century 21	of the century 15
_ _ charge	the community charge 32	free of charge 12
_ _ children	women and children 14
_ _ church	of the church 20	Roman catholic church 11
_ _ city	in the city 17	of the city 11
_ _ community	of the community 12
_ _ conscience	prisoners of conscience 19
_ _ considered	to be considered 12
_ _ could	that I could 12	if I could 11
_ _ country	of the country 18	in the country 11
_ _ course	in the course 12	is of course 12
_ _ course _	in the course of 12
_ _ course of	in the course of 12
_ _ criticism	of art criticism 11
_ _ crowd	of the crowd 12
_ _ dance	style of dance 13
_ _ day	of the day 34	on the day 12
_ _ days	a few days 15
_ _ deal	a great deal 51
_ _ deal _	a great deal of 24
_ _ deal of	a great deal of 24
_ _ decade	of the decade 15
_ _ department	social services department 17
_ _ design	of the design 11
_ _ deux	pas de deux 17
_ _ difficult	it is difficult 12
_ _ difficult _	it is difficult to 11
_ _ difficult to	it is difficult to 11
_ _ direction	in the direction 15
_ _ do	If you do 22	if you do 20	you can do 20	what to do 18	but I do 17	have to do 13	want to do 13	going to do 12	nothing to do 12
_ _ do _	nothing to do with 11
_ _ do with	nothing to do with 11
_ _ doctor	to your doctor 11
_ _ done	to be done 19	can be done 15
_ _ door	the front door 16
_ _ e	Gard eacute e 17
_ _ eacute	Mal Gard eacute 18
_ _ eacute _	Mal Gard eacute e 17
_ _ eacute e	Mal Gard eacute e 17
_ _ early	in the early 29
_ _ earth	What on earth 17
_ _ easy	it is easy 11
_ _ end	at the end 76	At the end 17	in the end 15	the other end 12	to the end 11
_ _ end _	at the end of 71	At the end of 17
_ _ end _ _	at the end of the 33	At the end of the 11
_ _ end _ the	at the end of the 33	At the end of the 11
_ _ end of	at the end of 71	At the end of 17
_ _ end of _	at the end of the 33	At the end of the 11
_ _ end of the	at the end of the 33	At the end of the 11
_ _ enough	is not enough 14
_ _ essential	it is essential 13
_ _ essential _	it is essential to 11
_ _ essential to	it is essential to 11
_ _ evening	in the evening 11
_ _ excellent	is an excellent 11
_ _ expense	at the expense 12
_ _ expense _	at the expense of 12
_ _ expense of	at the expense of 12
_ _ eye	in the eye 11
_ _ face	the opponent face 17	in the face 15
_ _ face _	in the face of 11
_ _ face of	in the face of 11
_ _ family	of the family 17
_ _ few	for a few 34	only a few 14	of the few 13
_ _ field	of the field 14
_ _ final	in the final 12
_ _ first	in the first 46	for the first 37	of the first 29	was the first 26	is the first 13	on the first 13	during the first 12	In the first 11
_ _ first _	for the first time 22
_ _ first time	for the first time 22
_ _ floor	on the floor 39	to the floor 18
_ _ for	the need for 29	to pay for 27	to look for 11
_ _ found	can be found 29	to be found 20
_ _ found _	can be found in 22	to be found in 13
_ _ found in	can be found in 22	to be found in 13
_ _ from	are available from 18	is available from 15
_ _ future	in the future 12
_ _ garden	in the garden 26	of the garden 11
_ _ get	able to get 22	you can get 19	going to get 12	You can get 11
_ _ glass	of the glass 31	the big glass 26
_ _ glider	that the glider 17	If the glider 13	of the glider 12	if the glider 11
_ _ go	have to go 21	want to go 14
_ _ going	I was going 21	you are going 14	are you going 13
_ _ going _	I was going to 20	you are going to 13	are you going to 11
_ _ going to	I was going to 20	you are going to 13	are you going to 11
_ _ good	is a good 27
_ _ gravity	centre of gravity 12
_ _ great	is a great 11
_ _ ground	on the ground 25	to the ground 16
_ _ group	of the group 12	Age Concern group 11
_ _ had	that he had 28	and I had 14	if he had 13	that I had 13	as Harsnet had 12	you have had 12	if I had 11
_ _ had _	as Harsnet had written 12
_ _ had written	as Harsnet had written 12
_ _ half	and a half 17
_ _ hand	the other hand 22
_ _ happened	what had happened 11
_ _ has	that he has 13
_ _ have	If you have 39	if you have 34	do not have 29	that you have 29	I would have 27	seems to have 20	you will have 20	I could have 18	said to have 18	seem to have 18	going to have 17	would not have 16	I should have 14	and I have 13	those who have 13	I do have 12	he would have 12	may not have 12	that I have 12	that they have 12	appears to have 11	does not have 11	he must have 11	people who have 11
_ _ he	as if he 15	in which he 14	the glass he 13
_ _ he _	the glass he wrote 12
_ _ he wrote	the glass he wrote 12
_ _ her	I told her 15	his or her 13	looked at her 12
_ _ him	I told him 20
_ _ his	one of his 20	out of his 16
_ _ hour	half an hour 15
_ _ house	of the house 15
_ _ how	to see how 17	no matter how 13
_ _ idea	a good idea 16	had no idea 11
_ _ if	to see if 19
_ _ il	F aacute il 11
_ _ important	the most important 32	It is important 30	it is important 25	is very important 15	is an important 12
_ _ important _	It is important to 20	it is important to 15
_ _ important to	It is important to 20	it is important to 15
_ _ in	be found in 36	to be in 25	it is in 20	be seen in 16	A Month in 14	I was in 14	will be in 14	It is in 13	the way in 13	have been in 12	you are in 12	they are in 11
_ _ in _	A Month in the 14	the way in which 13	be found in the 12
_ _ in _ Country	A Month in the Country 14
_ _ in _ _	A Month in the Country 14
_ _ in the	A Month in the 14	be found in the 12
_ _ in the Country	A Month in the Country 14
_ _ in the _	A Month in the Country 14
_ _ in which	the way in which 13
_ _ information	For more information 16
_ _ inspector	said the inspector 11
_ _ into	to get into 12
_ _ is	and it is 88	that it is 88	that there is 57	if it is 43	but it is 42	the glider is 41	as it is 25	But it is 22	However it is 21	and there is 21	what it is 21	if there is 19	and this is 18	because it is 18	because there is 18	that this is 18	If there is 17	of what is 17	But there is 16	But this is 14	he wrote is 14	so it is 14	to do is 14	where it is 14	If it is 13	the pilot is 13	And it is 12	but there is 12	that he is 12	the body is 12	which it is 12	of this is 11
_ _ is _	that there is no 16	that there is a 14	that it is not 12
_ _ is a	that there is a 14
_ _ is no	that there is no 16
_ _ is not	that it is not 12
_ _ it	is that it 25	I think it 19	he wrote it 19	so that it 18	to make it 18	to do it 16	I thought it 14	even if it 13	fact that it 12	out of it 12	and if it 11	in which it 11	know what it 11
_ _ just	is not just 11
_ _ kitchen	in the kitchen 31	into the kitchen 12	to the kitchen 12
_ _ know	I do know 59	want to know 17	did not know 13	Do you know 12	I did know 12	need to know 11
_ _ know _	I do know what 11
_ _ know what	I do know what 11
_ _ last	in the last 17	of the last 13
_ _ late	in the late 15
_ _ least	or at least 16	for at least 13	but at least 12
_ _ less	more or less 23
_ _ life	of my life 16
_ _ light	in the light 11
_ _ like	I would like 26	you would like 18	if you like 15	Would you like 12
_ _ like _	I would like to 23
_ _ like to	I would like to 23
_ _ likely	it is likely 12
_ _ line	Coast main line 15
_ _ little	with a little 13
_ _ local	of your local 14	from your local 11
_ _ longer	is no longer 15
_ _ loyalist	the protestant loyalist 12
_ _ made	can be made 26	to be made 22	should be made 16	has been made 13
_ _ main	of the main 14	East Coast main 12
_ _ main _	East Coast main line 12
_ _ main line	East Coast main line 12
_ _ majority	of the majority 11
_ _ make	how to make 15
_ _ man	a young man 11
_ _ many	There are many 25	there are many 19	of the many 11
_ _ margin	in the margin 27
_ _ mean	do you mean 17	does not mean 12
_ _ means	as a means 12
_ _ mental	of the mental 13
_ _ middle	in the middle 25
_ _ middle _	in the middle of 20
_ _ middle _ _	in the middle of the 13
_ _ middle _ the	in the middle of the 13
_ _ middle of	in the middle of 20
_ _ middle of _	in the middle of the 13
_ _ middle of the	in the middle of the 13
_ _ mind	of the mind 18
_ _ minutes	a few minutes 18
_ _ moment	for a moment 40	at the moment 33
_ _ more	more and more 21	a little more 16	to be more 12	to know more 11
_ _ morning	in the morning 34
_ _ most	of the most 47	is the most 32
_ _ music	of the music 13
_ _ nationalist	the catholic nationalist 13
_ _ necessary	it is necessary 15
_ _ necessary _	it is necessary to 14
_ _ necessary to	it is necessary to 14
_ _ need	you will need 17
_ _ need _	you will need to 14
_ _ need to	you will need to 14
_ _ never	I have never 16
_ _ new	of the new 31	of a new 20
_ _ next	for the next 15	in the next 15	to the next 13
_ _ no	there is no 97	There is no 41	there was no 34	there are no 15	There was no 13	to be no 13	can be no 12	little or no 12	I had no 11	I have no 11
_ _ not	it is not 81	It is not 56	it was not 28	this is not 28	I do not 24	This is not 24	I can not 21	it does not 19	whether or not 19	you are not 19	they are not 18	you can not 18	I am not 17	I did not 17	I was not 17	and do not 16	he could not 15	you do not 15	I would not 14	It was not 14	which is not 13	He did not 12	It does not 12	You can not 12	he does not 12	they do not 12	who do not 12	This does not 11	he did not 11	she did not 11	we are not 11	we can not 11
_ _ nothing	there is nothing 12
_ _ obtained	can be obtained 11
_ _ of	the end of 162	a number of 88	in front of 71	a lot of 70	the rest of 62	is one of 60	the number of 58	in terms of 55	the use of 52	the work of 49	a matter of 46	a series of 43	the beginning of 42	a variety of 41	the back of 40	was one of 37	a couple of 36	the case of 36	the kind of 36	a piece of 35	the development of 34	the nature of 33	the world of 32	a bit of 31	the age of 31	the top of 30	the amount of 29	the middle of 29	per cent of 28	the cost of 28	the importance of 28	the side of 28	a result of 27	the idea of 27	the start of 27	as part of 26	great deal of 26	the level of 26	the risk of 26	a range of 25	the history of 25	the introduction of 25	the quality of 25	the subject of 25	the edge of 24	the problem of 23	a kind of 22	on top of 22	the basis of 22	the centre of 22	a group of 21	the possibility of 21	the time of 21	a sort of 20	the sort of 20	the type of 20	the course of 19	the face of 19	the name of 19	the people of 19	the sense of 19	the size of 19	wide range of 19	a member of 18	a pair of 18	a period of 18	a sense of 18	on behalf of 18	the cause of 18	the direction of 18	the help of 18	the light of 18	the role of 18	the whole of 18	to think of 18	a part of 17	a way of 17	and out of 17	get rid of 17	the best of 17	the bottom of 17	the majority of 17	the needs of 17	the point of 17	the value of 17	a cup of 16	a work of 16	the form of 16	the power of 16	the range of 16	the sound of 16	by means of 15	on receipt of 15	the creation of 15	the effects of 15	the question of 15	the two of 15	this kind of 15	you think of 15	a form of 14	a man of 14	in favour of 14	is part of 14	made up of 14	of one of 14	some kind of 14	the concept of 14	the contents of 14	the effect of 14	the heart of 14	the impact of 14	the length of 14	the life of 14	the shape of 14	to one of 14	a handful of 13	a means of 13	it out of 13	the Department of 13	the angle of 13	the art of 13	the choice of 13	the loss of 13	the price of 13	the process of 13	the result of 13	the state of 13	the way of 13	a lack of 12	a mixture of 12	as one of 12	be aware of 12	the Church of 12	the absence of 12	the death of 12	the expense of 12	the opening of 12	the part of 12	the story of 12	the success of 12	the surface of 12	the teaching of 12	the thought of 12	this sort of 12	a bottle of 11	a combination of 11	a degree of 11	a selection of 11	get out of 11	in one of 11	is that of 11	large number of 11	large numbers of 11	the Secretary of 11	the character of 11	the context of 11	the first of 11	the front of 11	the growth of 11	the meaning of 11	the names of 11	the results of 11	to be of 11	your centre of 11
_ _ of _	the end of the 86	the rest of the 37	is one of the 36	the back of the 27	the beginning of the 25	in front of the 24	the side of the 24	was one of the 22	the middle of the 20	the start of the 18	the edge of the 17	the top of the 15	a work of art 14	per cent of the 14	the bottom of the 13	the direction of the 12	the power of the 12	the use of the 12	a member of the 11	the end of a 11	the nature of the 11	your centre of gravity 11
_ _ of a	the end of a 11
_ _ of art	a work of art 14
_ _ of gravity	your centre of gravity 11
_ _ of the	the end of the 86	the rest of the 37	is one of the 36	the back of the 27	the beginning of the 25	in front of the 24	the side of the 24	was one of the 22	the middle of the 20	the start of the 18	the edge of the 17	the top of the 15	per cent of the 14	the bottom of the 13	the direction of the 12	the power of the 12	the use of the 12	a member of the 11	the nature of the 11
_ _ old	of the old 20
_ _ on	and so on 35	to go on 17	is based on 14
_ _ one	more than one 21	at least one 16	This is one 11
_ _ only	is the only 20	not the only 15	was the only 11
_ _ opponent	to the opponent 27	of the opponent 21	into the opponent 19
_ _ other	on the other 24	On the other 21	to each other 16	of the other 15	at each other 14	to the other 12	There are other 11	at the other 11	than any other 11	with each other 11
_ _ other _	On the other hand 18
_ _ other hand	On the other hand 18
_ _ out	to find out 22	to point out 11
_ _ own	of their own 24	of his own 18	in their own 15	of my own 15	has its own 14
_ _ panel	the refereeing panel 14
_ _ particular	of a particular 12
_ _ particularly	This is particularly 11
_ _ past	of the past 15	in the past 12
_ _ pay	have to pay 26
_ _ people	of the people 19	of older people 14	for older people 13	number of people 11
_ _ point	a full point 12
_ _ pointes	sur les pointes 13
_ _ police	of the police 14
_ _ population	of the population 11
_ _ possible	it is possible 25	It is possible 20	soon as possible 18	is not possible 13	as as possible 12
_ _ possible _	it is possible to 21
_ _ possible to	it is possible to 21
_ _ pregnant	you are pregnant 13
_ _ pub	of the pub 18	in the pub 13
_ _ punch	a reverse punch 22
_ _ range	a wide range 16
_ _ range _	a wide range of 16
_ _ range of	a wide range of 16
_ _ rest	and the rest 12
_ _ result	as a result 27	As a result 15
_ _ result _	as a result of 21
_ _ result of	as a result of 21
_ _ reverse	with a reverse 11
_ _ reverse _	with a reverse punch 11
_ _ reverse punch	with a reverse punch 11
_ _ rid	to get rid 13
_ _ rid _	to get rid of 13
_ _ rid of	to get rid of 13
_ _ room	the living room 30	of the room 17	in the room 11
_ _ said	can be said 19
_ _ same	at the same 65	in the same 38	At the same 26	on the same 16	of the same 14	to the same 14	is the same 13	much the same 11
_ _ same _	at the same time 53	At the same time 26	in the same way 12
_ _ same _ _	at the same time as 11
_ _ same _ as	at the same time as 11
_ _ same time	at the same time 53	At the same time 26
_ _ same time _	at the same time as 11
_ _ same time as	at the same time as 11
_ _ same way	in the same way 12
_ _ say	not to say 14	what to say 14
_ _ seconds	a few seconds 13
_ _ see	I can see 17	I could see 13	like to see 12	we shall see 12	I do see 11	want to see 11
_ _ seen	can be seen 23	I have seen 17	to be seen 16
_ _ sense	in the sense 11
_ _ several	There are several 11
_ _ shall	as we shall 13
_ _ shall _	as we shall see 11
_ _ shall see	as we shall see 11
_ _ she	he or she 13	as if she 12
_ _ should	and you should 11
_ _ side	to one side 20	the other side 14	to the side 14
_ _ so	to do so 29	is not so 17
_ _ some	There are some 13
_ _ start	at the start 13
_ _ start _	at the start of 11
_ _ start of	at the start of 11
_ _ state	of the state 35
_ _ stick	on the stick 21
_ _ still	there is still 12
_ _ subject	on the subject 13
_ _ sun	in the sun 19
_ _ sure	to make sure 13	to be sure 11
_ _ system	the nervous system 22	of the system 15
_ _ table	on the table 17	of the table 11	to the table 11
_ _ take	have to take 11
_ _ taken	to be taken 14
_ _ tea	cup of tea 13
_ _ than	no more than 21	for more than 14	is better than 11	little more than 11
_ _ that	the fact that 53	to say that 38	to ensure that 28	make sure that 19	This means that 18	Concern believes that 15	a way that 12	not mean that 11	to believe that 11
_ _ the	one of the 223	part of the 144	out of the 139	end of the 126	some of the 98	side of the 68	back to the 64	to be the 60	so that the 54	One of the 53	it is the 53	and in the 52	because of the 49	members of the 46	on to the 46	to make the 46	away from the 45	most of the 44	in which the 43	It was the 40	This is the 38	rest of the 38	is not the 37	use of the 36	many of the 35	such as the 34	to get the 34	up to the 34	and on the 33	front of the 33	is that the 32	It is the 31	based on the 31	to keep the 31	back of the 30	and to the 29	that of the 29	down to the 28	parts of the 28	go to the 27	is in the 27	look at the 27	aware of the 25	back into the 25	beginning of the 25	place in the 25	this is the 25	to see the 25	and of the 24	attention to the 24	much of the 24	of all the 24	top of the 24	went into the 24	according to the 23	and at the 23	edge of the 23	it to the 23	the and the 23	the of the 23	to reduce the 23	up in the 23	was in the 23	will be the 23	and with the 22	are in the 22	it in the 22	nature of the 22	to take the 22	close to the 21	middle of the 21	to use the 21	version of the 21	well as the 21	been in the 20	it was the 20	people in the 20	understanding of the 20	Goldberg in the 19	any of the 19	as in the 19	be in the 19	has been the 19	member of the 19	Some of the 18	That is the 18	and for the 18	and into the 18	even in the 18	out in the 18	size of the 18	start of the 18	there is the 18	to find the 18	all over the 17	that is the 17	to do the 17	to stop the 17	and all the 16	down on the 16	have been the 16	looked at the 16	or in the 16	power of the 16	to meet the 16	was on the 16	I think the 15	bottom of the 15	depends on the 15	found in the 15	in with the 15	interest in the 15	knowledge of the 15	made by the 15	response to the 15	those of the 15	to leave the 15	up with the 15	work in the 15	Month in the 14	Most of the 14	account of the 14	all of the 14	areas of the 14	be on the 14	cent of the 14	come to the 14	details of the 14	development of the 14	different from the 14	returned to the 14	sure that the 14	terms of the 14	think of the 14	to give the 14	to have the 14	up on the 14	view of the 14	and then the 13	back on the 13	control of the 13	direction of the 13	due to the 13	given to the 13	in all the 13	is at the 13	known as the 13	not in the 13	quality of the 13	theory of the 13	to avoid the 13	two of the 13	was not the 13	which is the 13	work of the 13	work on the 13	Many of the 12	addition to the 12	and from the 12	art of the 12	as to the 12	clear that the 12	do with the 12	forwards on the 12	idea of the 12	is on the 12	means that the 12	of course the 12	out on the 12	out to the 12	sat in the 12	sat on the 12	say that the 12	teaching of the 12	time of the 12	to create the 12	to pay the 12	way to the 12	For example the 11	President of the 11	What are the 11	and that the 11	apart from the 11	are on the 11	as if the 11	aspect of the 11	but in the 11	case of the 11	cope with the 11	depending on the 11	difference between the 11	experience of the 11	her in the 11	involved in the 11	more than the 11	not only the 11	out at the 11	part in the 11	responsible for the 11	result of the 11	soon as the 11	them in the 11	there in the 11	they are the 11	this was the 11	time in the 11	to hold the 11	to join the 11	to know the 11	to prevent the 11	to support the 11	would be the 11
_ _ the Country	Month in the Country 14
_ _ the _	one of the most 26	Goldberg in the margin 19	Month in the Country 14
_ _ the margin	Goldberg in the margin 19
_ _ the most	one of the most 26
_ _ them	one of them 25	all of them 13	many of them 13	some of them 12
_ _ these	one of these 15
_ _ they	so that they 34	in which they 16	the way they 12	as if they 11
_ _ thing	sort of thing 17	the whole thing 11
_ _ think	I do think 33	do you think 26	Do you think 23
_ _ this	It is this 18	to do this 18	example of this 12
_ _ those	one of those 14
_ _ three	two or three 17
